allowed:0:0
alumni:0:0
attitude:0:0
banks:5:5
bill:53:53
calendar:4:4
classcode:27:27
tbl_classes:29:29
tbl_class_members:3609:3609
combination:23:23
comment:8:8
comment_report:16:16
conduct:4:4
courses:26:26
daemons:0:0
designation:9:9
externalgrades:0:0
feeadjustment:11:11
feepayrecord:0:0
form_master_report:4:4
formaster:2:2
fresh:1:1
gammu:0:0
gradedefinition:9:9
tbl_grades:2148:2148
gradesguide:2:2
head_master_report:4:4
headmaster:2:2
house:9:9
house_master_report:4:4
inbox:0:0
indexno:1:1
interest:2:2
log:6:6
offences:2:2
operations:0:0
outbox:3:3
outbox_multipart:0:0
parents:1203:1203
pbk:0:0
pbk_groups:0:0
phones:2:2
position:12:12
receiptno:1:1
repeatitions:1:1
sentitems:0:0
sheet1:72:72
tbl_student:1203:1203
subjects:34:34
tmp_promo:0:0
userlog:149:149
workergrade:4:4
workers:9:9
workersgrade:4:4
year:1:1
